Year	Time of Day	Vehicle	Notes	Units	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
2008	00:00 to 01:00	Cars and Taxis	[note 1]	Index number	16.0	12.0	12.0	14.0	15.0	23.0	27.0
2008	01:00 to 02:00	Cars and Taxis	[note 1]	Index number	9.0	7.0	7.0	7.0	8.0	14.0	17.0
2008	02:00 to 03:00	Cars and Taxis	[note 1]	Index number	6.0	5.0	5.0	5.0	6.0	10.0	11.0
2008	03:00 to 04:00	Cars and Taxis	[note 1]	Index number	7.0	6.0	5.0	6.0	7.0	9.0	8.0
2008	04:00 to 05:00	Cars and Taxis	[note 1]	Index number	14.0	10.0	9.0	10.0	11.0	11.0	8.0
2008	05:00 to 06:00	Cars and Taxis	[note 1]	Index number	39.0	30.0	28.0	28.0	28.0	20.0	12.0
2008	06:00 to 07:00	Cars and Taxis	[note 1]	Index number	97.0	88.0	86.0	86.0	79.0	36.0	21.0
2008	07:00 to 08:00	Cars and Taxis	[note 1]	Index number	175.0	178.0	178.0	178.0	162.0	63.0	35.0
2008	08:00 to 09:00	Cars and Taxis	[note 1]	Index number	185.0	194.0	194.0	194.0	177.0	100.0	54.0
2008	09:00 to 10:00	Cars and Taxis	[note 1]	Index number	145.0	147.0	149.0	149.0	141.0	139.0	94.0
2008	10:00 to 11:00	Cars and Taxis	[note 1]	Index number	138.0	128.0	131.0	131.0	143.0	177.0	140.0
2008	11:00 to 12:00	Cars and Taxis	[note 1]	Index number	142.0	127.0	130.0	131.0	155.0	195.0	168.0
2008	12:00 to 13:00	Cars and Taxis	[note 1]	Index number	142.0	130.0	134.0	135.0	167.0	193.0	177.0
2008	13:00 to 14:00	Cars and Taxis	[note 1]	Index number	143.0	134.0	139.0	141.0	177.0	182.0	170.0
2008	14:00 to 15:00	Cars and Taxis	[note 1]	Index number	145.0	142.0	147.0	149.0	186.0	169.0	167.0
2008	15:00 to 16:00	Cars and Taxis	[note 1]	Index number	160.0	162.0	168.0	170.0	202.0	160.0	172.0
2008	16:00 to 17:00	Cars and Taxis	[note 1]	Index number	192.0	199.0	205.0	206.0	218.0	159.0	181.0
2008	17:00 to 18:00	Cars and Taxis	[note 1]	Index number	208.0	216.0	220.0	222.0	221.0	159.0	172.0
2008	18:00 to 19:00	Cars and Taxis	[note 1]	Index number	158.0	167.0	172.0	178.0	184.0	135.0	150.0
2008	19:00 to 20:00	Cars and Taxis	[note 1]	Index number	101.0	105.0	112.0	122.0	143.0	102.0	125.0
2008	20:00 to 21:00	Cars and Taxis	[note 1]	Index number	69.0	70.0	74.0	84.0	103.0	72.0	99.0
2008	21:00 to 22:00	Cars and Taxis	[note 1]	Index number	52.0	53.0	56.0	62.0	71.0	54.0	72.0
2008	22:00 to 23:00	Cars and Taxis	[note 1]	Index number	37.0	41.0	43.0	46.0	51.0	45.0	48.0
2008	23:00 to 00:00	Cars and Taxis	[note 1]	Index number	22.0	24.0	26.0	28.0	36.0	38.0	29.0
2009	00:00 to 01:00	Cars and Taxis	[note 1]	Index number	16.0	12.0	12.0	13.0	15.0	23.0	27.0
2009	01:00 to 02:00	Cars and Taxis	[note 1]	Index number	9.0	7.0	7.0	8.0	8.0	13.0	16.0
2009	02:00 to 03:00	Cars and Taxis	[note 1]	Index number	6.0	5.0	5.0	6.0	6.0	9.0	10.0
2009	03:00 to 04:00	Cars and Taxis	[note 1]	Index number	7.0	5.0	5.0	6.0	6.0	8.0	8.0
2009	04:00 to 05:00	Cars and Taxis	[note 1]	Index number	14.0	10.0	9.0	10.0	10.0	10.0	8.0
2009	05:00 to 06:00	Cars and Taxis	[note 1]	Index number	37.0	29.0	28.0	28.0	27.0	18.0	12.0
2009	06:00 to 07:00	Cars and Taxis	[note 1]	Index number	94.0	87.0	85.0	82.0	76.0	34.0	21.0
2009	07:00 to 08:00	Cars and Taxis	[note 1]	Index number	177.0	179.0	177.0	172.0	159.0	60.0	34.0
2009	08:00 to 09:00	Cars and Taxis	[note 1]	Index number	187.0	197.0	197.0	190.0	175.0	98.0	55.0
2009	09:00 to 10:00	Cars and Taxis	[note 1]	Index number	143.0	148.0	149.0	145.0	139.0	138.0	96.0
2009	10:00 to 11:00	Cars and Taxis	[note 1]	Index number	139.0	129.0	132.0	131.0	144.0	176.0	143.0
2009	11:00 to 12:00	Cars and Taxis	[note 1]	Index number	144.0	128.0	132.0	134.0	157.0	194.0	172.0
2009	12:00 to 13:00	Cars and Taxis	[note 1]	Index number	145.0	131.0	136.0	139.0	169.0	191.0	178.0
2009	13:00 to 14:00	Cars and Taxis	[note 1]	Index number	145.0	135.0	141.0	144.0	179.0	182.0	172.0
2009	14:00 to 15:00	Cars and Taxis	[note 1]	Index number	148.0	143.0	149.0	153.0	189.0	168.0	170.0
2009	15:00 to 16:00	Cars and Taxis	[note 1]	Index number	161.0	162.0	169.0	172.0	204.0	161.0	175.0
2009	16:00 to 17:00	Cars and Taxis	[note 1]	Index number	192.0	202.0	207.0	208.0	219.0	159.0	183.0
2009	17:00 to 18:00	Cars and Taxis	[note 1]	Index number	207.0	218.0	222.0	221.0	222.0	157.0	172.0
2009	18:00 to 19:00	Cars and Taxis	[note 1]	Index number	156.0	165.0	171.0	174.0	183.0	134.0	149.0
2009	19:00 to 20:00	Cars and Taxis	[note 1]	Index number	99.0	104.0	112.0	118.0	140.0	101.0	125.0
2009	20:00 to 21:00	Cars and Taxis	[note 1]	Index number	69.0	69.0	74.0	83.0	101.0	72.0	98.0
2009	21:00 to 22:00	Cars and Taxis	[note 1]	Index number	51.0	53.0	56.0	61.0	70.0	53.0	72.0
2009	22:00 to 23:00	Cars and Taxis	[note 1]	Index number	37.0	41.0	43.0	44.0	51.0	45.0	47.0
2009	23:00 to 00:00	Cars and Taxis	[note 1]	Index number	22.0	24.0	26.0	27.0	35.0	38.0	29.0
2010	00:00 to 01:00	Cars and Taxis	[note 1]	Index number	15.3	11.5	12.1	13.0	14.8	21.8	25.8
