zone_residence,zone_workplace,mode,residence,workplace,number,distance,time
bridgwater,highbridge_and_burnham,train,E02006068,E02006065,7,12461,2346
bridgwater,highbridge_and_burnham,train,E02006069,E02006065,6,12709,2554
bridgwater,other,foot,E02006073,E02006070,14,0,0
bridgwater,bridgwater,foot,E02006068,E02006068,189,965,781
bridgwater,other,foot,E02006069,E02006070,37,2206,1847
bridgwater,other,foot,E02006068,E02006070,37,3194,2668
bridgwater,other,foot,E02006073,E02006067,4,8044,6668
bridgwater,bridgwater,foot,E02006069,E02006069,566,9868,8043
bridgwater,bridgwater,foot,E02006073,E02006069,176,11165,9076
bridgwater,bridgwater,foot,E02006069,E02006068,178,2601,2139
bridgwater,taunton,foot,E02006069,E02006104,5,16912,13846
bridgwater,other,foot,E02006069,E02006066,4,8479,6947
bridgwater,other,foot,E02006073,E02006074,40,15705,12775
bridgwater,other,foot,E02006073,E02006072,2,3695,3072
bridgwater,other,foot,E02006073,E02006061,1,2476,2033
bridgwater,other,foot,E02006068,E02006072,5,5362,4481
bridgwater,other,foot,E02006068,E02006066,5,7574,6176
bridgwater,highbridge_and_burnham,foot,E02006068,E02006065,5,11946,9711
bridgwater,highbridge_and_burnham,foot,E02006073,E02006064,3,14224,11647
bridgwater,other,foot,E02006069,E02006072,4,4883,4084
bridgwater,bridgwater,foot,E02006073,E02006068,59,3357,2735
bridgwater,other,foot,E02006069,E02006061,5,1516,1258
bridgwater,other,foot,E02006068,E02006061,1,3519,2935
bridgwater,taunton,foot,E02006068,E02006104,1,17390,14243
bridgwater,other,foot,E02006069,E02006074,29,14317,11642
bridgwater,bridgwater,foot,E02006068,E02006069,141,8628,7002
bridgwater,other,foot,E02006068,E02006067,6,8805,7329
bridgwater,other,foot,E02006073,E02006071,12,17075,13995
bridgwater,other,foot,E02006068,E02006074,15,14035,11428
bridgwater,other,foot,E02006069,E02006067,7,6801,5652
bridgwater,other,foot,E02006073,E02006066,2,9867,8080
bridgwater,highbridge_and_burnham,foot,E02006068,E02006064,4,15866,13057
bridgwater,highbridge_and_burnham,foot,E02006069,E02006064,8,15388,12659
bridgwater,highbridge_and_burnham,foot,E02006069,E02006065,7,12227,9925
bridgwater,other,foot,E02006068,E02006071,4,18718,15405
bridgwater,bridgwater,foot,E02006073,E02006073,126,29432,24083
bridgwater,other,foot,E02006069,E02006071,39,18240,15007
bridgwater,taunton,foot,E02006073,E02006104,3,15747,12834
bridgwater,bridgwater,foot,E02006069,E02006073,88,28149,23046
bridgwater,bridgwater,foot,E02006068,E02006073,35,26895,22009
bridgwater,bridgwater,motorcycle,E02006068,E02006068,1,0,0
bridgwater,other,motorcycle,E02006069,E02006070,8,0,0
bridgwater,other,motorcycle,E02006073,E02006074,5,0,0
bridgwater,bridgwater,motorcycle,E02006073,E02006069,6,0,0
bridgwater,other,motorcycle,E02006068,E02006070,5,0,0
bridgwater,other,motorcycle,E02006073,E02006070,6,0,0
bridgwater,other,motorcycle,E02006068,E02006074,5,0,0
bridgwater,bridgwater,motorcycle,E02006069,E02006068,8,0,0
bridgwater,other,motorcycle,E02006069,E02006074,2,0,0
bridgwater,bridgwater,motorcycle,E02006068,E02006069,6,0,0
bridgwater,bridgwater,motorcycle,E02006069,E02006069,6,0,0
bridgwater,bridgwater,motorcycle,E02006073,E02006068,2,0,0
bridgwater,bridgwater,bicycle,E02006073,E02006069,78,0,0
bridgwater,other,bicycle,E02006068,E02006074,53,0,0
bridgwater,bridgwater,bicycle,E02006069,E02006073,25,1670,327
bridgwater,bridgwater,bicycle,E02006073,E02006073,19,3096,652
bridgwater,other,bicycle,E02006073,E02006074,50,3606,736
bridgwater,bridgwater,bicycle,E02006068,E02006068,72,1118,199
bridgwater,bridgwater,bicycle,E02006069,E02006069,95,2437,462
bridgwater,other,bicycle,E02006069,E02006074,56,2086,400
bridgwater,bridgwater,bicycle,E02006069,E02006068,70,3006,563
bridgwater,bridgwater,bicycle,E02006073,E02006068,35,3489,676
bridgwater,bridgwater,bicycle,E02006068,E02006069,81,3648,763
bridgwater,other,bicycle,E02006068,E02006070,36,9232,1984
bridgwater,bridgwater,bicycle,E02006068,E02006073,11,3701,720
bridgwater,other,bicycle,E02006073,E02006070,27,8915,1945
bridgwater,other,bicycle,E02006069,E02006070,67,7201,1591
bridgwater,other,driving,E02006073,E02006074,144,3973,469
bridgwater,other,passenger,E02006073,E02006074,12,3973,469
bridgwater,bridgwater,driving,E02006073,E02006073,86,0,0
bridgwater,bridgwater,passenger,E02006073,E02006073,12,0,0
bridgwater,other,driving,E02006069,E02006067,81,8397,826
bridgwater,other,passenger,E02006069,E02006067,15,8397,826
bridgwater,other,driving,E02006073,E02006070,112,3917,607
bridgwater,other,passenger,E02006073,E02006070,18,3917,607
bridgwater,other,driving,E02006073,E02006112,6,18955,1282
bridgwater,taunton,driving,E02006069,E02006104,62,16995,1221
bridgwater,taunton,passenger,E02006069,E02006104,7,16995,1221
bridgwater,other,driving,E02006069,E02006071,76,2586,348
bridgwater,other,passenger,E02006069,E02006071,11,2586,348
bridgwater,other,driving,E02006073,E02006078,4,21135,1726
bridgwater,other,passenger,E02006073,E02006078,4,21135,1726
bridgwater,other,taxi,E02006073,E02006071,1,5205,680
bridgwater,other,driving,E02006073,E02006071,36,5205,680
bridgwater,other,passenger,E02006073,E02006071,5,5205,680
bridgwater,other,driving,E02006069,E02006072,26,12264,1042
bridgwater,other,passenger,E02006069,E02006072,4,12264,1042
bridgwater,taunton,driving,E02006073,E02006104,32,15486,966
bridgwater,taunton,passenger,E02006073,E02006104,2,15486,966
bridgwater,bridgwater,taxi,E02006069,E02006068,1,2714,411
bridgwater,bridgwater,driving,E02006069,E02006068,247,2714,411
bridgwater,bridgwater,passenger,E02006069,E02006068,27,2714,411
bridgwater,bridgwater,taxi,E02006069,E02006069,9,0,0
bridgwater,bridgwater,driving,E02006069,E02006069,333,0,0
bridgwater,bridgwater,passenger,E02006069,E02006069,43,0,0
bridgwater,other,driving,E02006073,E02006063,7,29578,1838
bridgwater,other,driving,E02006073,E02006066,50,10860,1600
bridgwater,other,passenger,E02006073,E02006066,4,10860,1600
bridgwater,taunton,driving,E02006073,E02006109,32,20700,1544
bridgwater,other,driving,E02006073,E02006051,3,33557,2721
