zone,mode,residence,workplace,originIndex,destinationIndex
bridgwater,DRIVE,E02006068,E02006065,0,0
bridgwater,DRIVE,E02006068,E02006068,0,1
bridgwater,DRIVE,E02006068,E02006069,0,2
bridgwater,DRIVE,E02006068,E02006070,0,3
bridgwater,DRIVE,E02006068,E02006073,0,4
bridgwater,DRIVE,E02006068,E02006074,0,5
bridgwater,DRIVE,E02006068,E02006108,0,6
bridgwater,DRIVE,E02006068,E02006066,0,7
bridgwater,DRIVE,E02006068,E02006067,0,8
bridgwater,DRIVE,E02006068,E02006071,0,9
bridgwater,DRIVE,E02006068,E02006104,0,10
bridgwater,DRIVE,E02006068,E02006116,0,11
bridgwater,DRIVE,E02006069,E02006065,1,0
bridgwater,DRIVE,E02006069,E02006068,1,1
bridgwater,DRIVE,E02006069,E02006069,1,2
bridgwater,DRIVE,E02006069,E02006070,1,3
bridgwater,DRIVE,E02006069,E02006073,1,4
bridgwater,DRIVE,E02006069,E02006074,1,5
bridgwater,DRIVE,E02006069,E02006108,1,6
bridgwater,DRIVE,E02006069,E02006066,1,7
bridgwater,DRIVE,E02006069,E02006067,1,8
bridgwater,DRIVE,E02006069,E02006071,1,9
bridgwater,DRIVE,E02006069,E02006104,1,10
bridgwater,DRIVE,E02006069,E02006116,1,11
bridgwater,DRIVE,E02006073,E02006065,2,0
bridgwater,DRIVE,E02006073,E02006068,2,1
bridgwater,DRIVE,E02006073,E02006069,2,2
bridgwater,DRIVE,E02006073,E02006070,2,3
bridgwater,DRIVE,E02006073,E02006073,2,4
bridgwater,DRIVE,E02006073,E02006074,2,5
bridgwater,DRIVE,E02006073,E02006108,2,6
bridgwater,DRIVE,E02006073,E02006066,2,7
bridgwater,DRIVE,E02006073,E02006067,2,8
bridgwater,DRIVE,E02006073,E02006071,2,9
bridgwater,DRIVE,E02006073,E02006104,2,10
bridgwater,DRIVE,E02006073,E02006116,2,11
bridgwater,BICYCLE,E02006068,E02006068,0,0
bridgwater,BICYCLE,E02006068,E02006069,0,1
bridgwater,BICYCLE,E02006068,E02006074,0,2
bridgwater,BICYCLE,E02006068,E02006070,0,3
bridgwater,BICYCLE,E02006069,E02006068,1,0
bridgwater,BICYCLE,E02006069,E02006069,1,1
bridgwater,BICYCLE,E02006069,E02006074,1,2
bridgwater,BICYCLE,E02006069,E02006070,1,3
bridgwater,BICYCLE,E02006073,E02006068,2,0
bridgwater,BICYCLE,E02006073,E02006069,2,1
bridgwater,BICYCLE,E02006073,E02006074,2,2
bridgwater,BICYCLE,E02006073,E02006070,2,3
bridgwater,WALK,E02006068,E02006068,0,0
bridgwater,WALK,E02006068,E02006069,0,1
bridgwater,WALK,E02006068,E02006073,0,2
bridgwater,WALK,E02006069,E02006068,1,0
bridgwater,WALK,E02006069,E02006069,1,1
bridgwater,WALK,E02006069,E02006073,1,2
