zone_residence,zone_workplace,mode,residence,workplace,number,distance,time
bridgwater,bristol,driving,E02006068,E02003043,5,53513.149785231326,2140.525991409253
bridgwater,weston-super-mare,driving,E02006068,E02003084,13,28619.35147084253,1144.774058833701
bridgwater,weston-super-mare,passenger,E02006068,E02003084,2,28619.35147084253,1144.774058833701
bridgwater,weston-super-mare,driving,E02006068,E02003089,5,25380.21590387022,1015.2086361548088
bridgwater,weston-super-mare,passenger,E02006068,E02003089,1,25380.21590387022,1015.2086361548088
bridgwater,other,driving,E02006068,E02006054,6,29286.455607157706,1171.4582242863082
bridgwater,other,driving,E02006068,E02006056,7,43526.75869553532,1741.0703478214127
bridgwater,other,passenger,E02006068,E02006056,2,43526.75869553532,1741.0703478214127
bridgwater,other,driving,E02006068,E02006057,5,22680.17156220717,907.2068624882869
bridgwater,other,passenger,E02006068,E02006057,1,22680.17156220717,907.2068624882869
bridgwater,other,driving,E02006068,E02006058,15,19914.19154726567,796.5676618906268
bridgwater,other,passenger,E02006068,E02006058,4,19914.19154726567,796.5676618906268
bridgwater,other,driving,E02006068,E02006060,17,20219.673767328255,808.7869506931302
bridgwater,other,passenger,E02006068,E02006060,1,20219.673767328255,808.7869506931302
bridgwater,other,driving,E02006068,E02006061,8,25818.00970689957,1032.720388275983
bridgwater,other,passenger,E02006068,E02006061,1,25818.00970689957,1032.720388275983
bridgwater,other,driving,E02006068,E02006062,23,16019.909682420937,640.7963872968375
bridgwater,other,passenger,E02006068,E02006062,1,16019.909682420937,640.7963872968375
bridgwater,highbridge_and_burnham,taxi,E02006068,E02006064,1,14218.931731120236,568.7572692448094
bridgwater,highbridge_and_burnham,driving,E02006068,E02006064,15,14218.931731120236,568.7572692448094
bridgwater,highbridge_and_burnham,passenger,E02006068,E02006064,2,14218.931731120236,568.7572692448094
bridgwater,highbridge_and_burnham,driving,E02006068,E02006065,65,12361.059595525503,494.44238382102014
bridgwater,highbridge_and_burnham,passenger,E02006068,E02006065,7,12361.059595525503,494.44238382102014
bridgwater,other,driving,E02006068,E02006066,32,5828.48586267132,233.1394345068528
bridgwater,other,passenger,E02006068,E02006066,7,5828.48586267132,233.1394345068528
bridgwater,other,driving,E02006068,E02006067,38,8832.687324347393,353.3074929738957
bridgwater,other,passenger,E02006068,E02006067,3,8832.687324347393,353.3074929738957
bridgwater,bridgwater,driving,E02006068,E02006068,228,0.0,0.0
bridgwater,bridgwater,passenger,E02006068,E02006068,30,0.0,0.0
bridgwater,bridgwater,taxi,E02006068,E02006069,10,1858.6167293220406,74.34466917288162
bridgwater,bridgwater,driving,E02006068,E02006069,276,1858.6167293220406,74.34466917288162
bridgwater,bridgwater,passenger,E02006068,E02006069,42,1858.6167293220406,74.34466917288162
bridgwater,other,driving,E02006068,E02006070,145,870.5968124518186,34.823872498072745
bridgwater,other,passenger,E02006068,E02006070,22,870.5968124518186,34.823872498072745
bridgwater,other,driving,E02006068,E02006071,28,3262.483651588364,130.49934606353455
bridgwater,other,driving,E02006068,E02006072,31,7708.2490821755455,308.3299632870218
bridgwater,other,passenger,E02006068,E02006072,1,7708.2490821755455,308.3299632870218
bridgwater,bridgwater,taxi,E02006068,E02006073,2,2710.6295621960126,108.4251824878405
bridgwater,bridgwater,driving,E02006068,E02006073,57,2710.6295621960126,108.4251824878405
bridgwater,bridgwater,passenger,E02006068,E02006073,12,2710.6295621960126,108.4251824878405
bridgwater,other,taxi,E02006068,E02006074,1,5531.885585332924,221.27542341331696
bridgwater,other,driving,E02006068,E02006074,128,5531.885585332924,221.27542341331696
bridgwater,other,passenger,E02006068,E02006074,15,5531.885585332924,221.27542341331696
bridgwater,other,driving,E02006068,E02006076,4,37336.41078189936,1493.4564312759744
bridgwater,other,passenger,E02006068,E02006076,7,37336.41078189936,1493.4564312759744
bridgwater,other,driving,E02006068,E02006078,9,18338.78496037725,733.5513984150899
bridgwater,other,passenger,E02006068,E02006078,5,18338.78496037725,733.5513984150899
bridgwater,other,driving,E02006068,E02006099,9,20300.661236852455,812.0264494740982
bridgwater,taunton,driving,E02006068,E02006100,16,17073.20560356177,682.9282241424709
bridgwater,taunton,passenger,E02006068,E02006100,2,17073.20560356177,682.9282241424709
bridgwater,other,driving,E02006068,E02006103,7,14745.295595061476,589.811823802459
bridgwater,other,passenger,E02006068,E02006103,2,14745.295595061476,589.811823802459
bridgwater,taunton,driving,E02006068,E02006104,39,16698.771646010406,667.9508658404162
bridgwater,taunton,passenger,E02006068,E02006104,3,16698.771646010406,667.9508658404162
bridgwater,taunton,taxi,E02006068,E02006105,1,17791.756380451894,711.6702552180758
bridgwater,taunton,driving,E02006068,E02006105,23,17791.756380451894,711.6702552180758
bridgwater,taunton,passenger,E02006068,E02006105,1,17791.756380451894,711.6702552180758
bridgwater,taunton,driving,E02006068,E02006106,15,19702.843635721718,788.1137454288687
bridgwater,taunton,passenger,E02006068,E02006106,2,19702.843635721718,788.1137454288687
bridgwater,taunton,driving,E02006068,E02006107,7,17982.545656262097,719.3018262504838
bridgwater,taunton,passenger,E02006068,E02006107,4,17982.545656262097,719.3018262504838
bridgwater,taunton,driving,E02006068,E02006108,51,19370.853452901327,774.834138116053
bridgwater,taunton,passenger,E02006068,E02006108,6,19370.853452901327,774.834138116053
bridgwater,taunton,driving,E02006068,E02006109,29,21006.24899845651,840.2499599382604
bridgwater,taunton,passenger,E02006068,E02006109,6,21006.24899845651,840.2499599382604
bridgwater,wellington,driving,E02006068,E02006111,17,29399.612386589706,1175.9844954635882
bridgwater,other,driving,E02006068,E02006116,40,25961.21060915122,1038.4484243660488
bridgwater,other,passenger,E02006068,E02006116,4,25961.21060915122,1038.4484243660488
bridgwater,weston-super-mare,driving,E02006068,E02006846,5,29091.621373377144,1163.6648549350857
bridgwater,weston-super-mare,passenger,E02006068,E02006846,1,29091.621373377144,1163.6648549350857
bridgwater,bristol,driving,E02006069,E02003014,6,56945.2294940447,2277.809179761788
bridgwater,other,driving,E02006069,E02003066,6,49321.72995753097,1972.8691983012388
bridgwater,weston-super-mare,driving,E02006069,E02003084,8,28794.71277836087,1151.7885111344349
bridgwater,weston-super-mare,driving,E02006069,E02003085,10,27229.583137031135,1089.1833254812454
bridgwater,weston-super-mare,passenger,E02006069,E02003085,1,27229.583137031135,1089.1833254812454
bridgwater,other,driving,E02006069,E02003088,8,30432.861512052816,1217.3144604821127
bridgwater,other,passenger,E02006069,E02003088,1,30432.861512052816,1217.3144604821127
bridgwater,weston-super-mare,driving,E02006069,E02003089,5,25606.79969710613,1024.2719878842452
bridgwater,weston-super-mare,passenger,E02006069,E02003089,2,25606.79969710613,1024.2719878842452
bridgwater,other,driving,E02006069,E02003106,8,63449.33280923093,2537.973312369237
bridgwater,other,passenger,E02006069,E02003106,1,63449.33280923093,2537.973312369237
bridgwater,other,passenger,E02006069,E02003230,5,116658.28893242522,4666.331557297009
bridgwater,other,driving,E02006069,E02006051,5,28946.054584582645,1157.8421833833058
bridgwater,other,passenger,E02006069,E02006051,1,28946.054584582645,1157.8421833833058
bridgwater,other,driving,E02006069,E02006052,7,37717.992464846124,1508.719698593845
bridgwater,other,driving,E02006069,E02006054,7,31049.943803981885,1241.9977521592755
bridgwater,other,passenger,E02006069,E02006054,1,31049.943803981885,1241.9977521592755
bridgwater,other,driving,E02006069,E02006057,13,24533.558701827675,981.342348073107
bridgwater,other,passenger,E02006069,E02006057,2,24533.558701827675,981.342348073107
bridgwater,other,driving,E02006069,E02006058,15,21765.444987142273,870.617799485691
bridgwater,other,passenger,E02006069,E02006058,2,21765.444987142273,870.617799485691
bridgwater,other,driving,E02006069,E02006060,22,22074.71362096444,882.9885448385777
bridgwater,other,passenger,E02006069,E02006060,4,22074.71362096444,882.9885448385777
bridgwater,other,driving,E02006069,E02006061,7,27083.85352825071,1083.3541411300284
bridgwater,other,passenger,E02006069,E02006061,1,27083.85352825071,1083.3541411300284
bridgwater,other,driving,E02006069,E02006062,20,16157.775935832558,646.3110374333023
bridgwater,other,passenger,E02006069,E02006062,2,16157.775935832558,646.3110374333023
bridgwater,highbridge_and_burnham,driving,E02006069,E02006064,28,14271.702542169329,570.8681016867731
bridgwater,highbridge_and_burnham,passenger,E02006069,E02006064,5,14271.702542169329,570.8681016867731
bridgwater,highbridge_and_burnham,driving,E02006069,E02006065,69,12572.184577231348,502.88738308925394
bridgwater,highbridge_and_burnham,passenger,E02006069,E02006065,24,12572.184577231348,502.88738308925394
bridgwater,other,driving,E02006069,E02006066,51,6559.585122992159,262.38340491968637
bridgwater,other,passenger,E02006069,E02006066,6,6559.585122992159,262.38340491968637
bridgwater,other,driving,E02006069,E02006067,81,7046.684253586766,281.8673701434707
bridgwater,other,passenger,E02006069,E02006067,15,7046.684253586766,281.8673701434707
bridgwater,bridgwater,taxi,E02006069,E02006068,1,1858.6167293220406,74.34466917288162
bridgwater,bridgwater,driving,E02006069,E02006068,247,1858.6167293220406,74.34466917288162
bridgwater,bridgwater,passenger,E02006069,E02006068,27,1858.6167293220406,74.34466917288162
bridgwater,bridgwater,taxi,E02006069,E02006069,9,0.0,0.0
bridgwater,bridgwater,driving,E02006069,E02006069,333,0.0,0.0
bridgwater,bridgwater,passenger,E02006069,E02006069,43,0.0,0.0
bridgwater,other,taxi,E02006069,E02006070,1,2432.3579068158742,97.29431627263497
bridgwater,other,driving,E02006069,E02006070,219,2432.3579068158742,97.29431627263497
bridgwater,other,passenger,E02006069,E02006070,46,2432.3579068158742,97.29431627263497
bridgwater,other,driving,E02006069,E02006071,76,1413.5457298879794,56.54182919551918
bridgwater,other,passenger,E02006069,E02006071,11,1413.5457298879794,56.54182919551918
bridgwater,other,driving,E02006069,E02006072,26,9565.961041267763,382.63844165071055
bridgwater,other,passenger,E02006069,E02006072,4,9565.961041267763,382.63844165071055
bridgwater,bridgwater,taxi,E02006069,E02006073,2,1797.545257791531,71.90181031166124
bridgwater,bridgwater,driving,E02006069,E02006073,71,1797.545257791531,71.90181031166124
bridgwater,bridgwater,passenger,E02006069,E02006073,10,1797.545257791531,71.90181031166124
bridgwater,other,driving,E02006069,E02006074,183,5043.914097774318,201.75656391097272
bridgwater,other,passenger,E02006069,E02006074,25,5043.914097774318,201.75656391097272
bridgwater,other,driving,E02006069,E02006078,13,19752.136361712215,790.0854544684886
bridgwater,other,passenger,E02006069,E02006078,3,19752.136361712215,790.0854544684886
bridgwater,other,driving,E02006069,E02006089,8,40585.79124057205,1623.4316496228819
