zone_residence,zone_workplace,mode,number,distance,time
weston-super-mare,weston-super-mare,bicycle,784,0,0
wellington,wellington,bicycle,215,0,0
exeter,exeter,bicycle,3165,0,0
cullompton,cullompton,bicycle,40,0,0
taunton,taunton,bicycle,2365,0,0
highbridge_and_burnham,highbridge_and_burnham,bicycle,309,0,0
tiverton,tiverton,bicycle,257,0,0
bridgwater,bridgwater,bicycle,486,0,0
highbridge_and_burnham,weston-super-mare,bicycle,3,20042,3813
bristol,bristol,bicycle,11862,0,0
tiverton,cullompton,bicycle,4,13373,2627
weston-super-mare,highbridge_and_burnham,bicycle,4,19828,3789
highbridge_and_burnham,bridgwater,bicycle,18,14640,2818
tiverton,wellington,bicycle,2,26497,5366
weston-super-mare,taunton,bicycle,4,60366,11466
bridgwater,cullompton,bicycle,0,61753,12325
bridgwater,wellington,bicycle,1,36046,6958
bridgwater,highbridge_and_burnham,bicycle,10,14736,2801
wellington,taunton,bicycle,58,14552,2805
tiverton,taunton,bicycle,0,41306,8361
cullompton,tiverton,bicycle,3,13206,2661
taunton,weston-super-mare,bicycle,0,60466,11429
taunton,bridgwater,bicycle,13,22107,4147
exeter,tiverton,bicycle,2,23885,5175
weston-super-mare,bridgwater,bicycle,1,42547,8151
wellington,cullompton,bicycle,0,21058,4311
tiverton,highbridge_and_burnham,bicycle,0,86710,16747
wellington,tiverton,bicycle,0,30630,6295
wellington,highbridge_and_burnham,bicycle,0,59956,11192
bridgwater,tiverton,bicycle,0,62666,12511
highbridge_and_burnham,tiverton,bicycle,0,85836,16860
bridgwater,taunton,bicycle,20,22221,4190
bristol,bridgwater,bicycle,0,74429,14243
weston-super-mare,tiverton,bicycle,0,100812,19786
taunton,cullompton,bicycle,0,40200,8381
tiverton,exeter,bicycle,12,23885,5070
bridgwater,bristol,bicycle,3,76193,14876
wellington,bridgwater,bicycle,0,36110,6721
bridgwater,weston-super-mare,bicycle,0,34869,6573
weston-super-mare,wellington,bicycle,1,74191,14233
cullompton,wellington,bicycle,0,21498,4560
cullompton,highbridge_and_burnham,bicycle,0,85645,16557
taunton,wellington,bicycle,41,14493,3014
taunton,tiverton,bicycle,4,41113,8567
tiverton,bridgwater,bicycle,0,62864,12277
cullompton,taunton,bicycle,0,40241,8171
tiverton,weston-super-mare,bicycle,0,101223,19558
wellington,weston-super-mare,bicycle,0,74469,14003
cullompton,exeter,bicycle,6,21511,4042
wellington,exeter,bicycle,0,43161,8579
cullompton,bristol,bicycle,1,133538,26066
highbridge_and_burnham,wellington,bicycle,0,59216,11307
taunton,highbridge_and_burnham,bicycle,0,45952,8618
exeter,cullompton,bicycle,1,21522,4076
exeter,highbridge_and_burnham,bicycle,0,101825,19612
cullompton,bridgwater,bicycle,0,61799,12087
weston-super-mare,exeter,bicycle,0,120772,23506
bristol,wellington,bicycle,0,106073,20325
highbridge_and_burnham,cullompton,bicycle,0,84923,16674
exeter,bridgwater,bicycle,0,77980,15142
weston-super-mare,bristol,bicycle,24,42478,8246
highbridge_and_burnham,taunton,bicycle,8,45391,8539
taunton,exeter,bicycle,5,61074,12286
bristol,weston-super-mare,bicycle,3,43900,8242
exeter,weston-super-mare,bicycle,0,116339,22423
bristol,cullompton,bicycle,0,131780,25693
wellington,bristol,bicycle,0,107849,20701
exeter,bristol,bicycle,7,149719,29121
cullompton,weston-super-mare,bicycle,0,100158,19368
exeter,taunton,bicycle,1,56422,11226
bristol,tiverton,bicycle,0,132693,25878
weston-super-mare,cullompton,bicycle,0,99899,19600
highbridge_and_burnham,exeter,bicycle,0,105797,20580
taunton,bristol,bicycle,4,93846,18126
exeter,wellington,bicycle,1,42649,8563
highbridge_and_burnham,bristol,bicycle,0,53149,10228
bristol,exeter,bicycle,8,152654,29598
bristol,highbridge_and_burnham,bicycle,1,54495,10205
bristol,taunton,bicycle,3,92248,17558
tiverton,bristol,bicycle,1,134603,26256
bridgwater,exeter,bicycle,0,82627,16231
tiverton,tiverton,bus,49,0,0
bridgwater,bridgwater,bus,72,0,0
weston-super-mare,weston-super-mare,bus,863,0,0
highbridge_and_burnham,highbridge_and_burnham,bus,17,0,0
taunton,taunton,bus,535,0,0
cullompton,cullompton,bus,5,0,0
exeter,exeter,bus,4325,0,0
